Fri,19-Apr,Sea,Min,@Tam,@Det,Atl,ChW,@Tex,@NYY,@Bal,Kan,Tor,@Ana,Bos,Hou,@Oak,@ChC,@Cle,Ari,@Sdg,Phi,Was,@Mil,Los,@StL,@Col,Sfo,Cin,@Pit,NYM,@Fla
Sat,20-Apr,Sea,Min,@Tam,@Det,Atl,ChW,@Tex,@NYY,@Bal,Kan,Tor,@Ana,Bos,Hou,@Oak,@ChC,@Cle,Ari,@Sdg,Phi,Was,@Mil,Los,@StL,@Col,Sfo,Cin,@Pit,NYM,@Fla
Sun,21-Apr,Sea,Min,@Tam,@Det,Atl,ChW,@Tex,@NYY,@Bal,Kan,Tor,@Ana,Bos,Hou,@Oak,@ChC,@Cle,Ari,@Sdg,Phi,Was,@Mil,Los,@StL,@Col,Sfo,Cin,@Pit,NYM,@Fla
Mon,22-Apr,NYY,ChW,Det,@Bal,,@Bos,Min,@Tam,@Hou,@Ana,Tex,,Kan,@Oak,,@Pit,,,,Was,,,@StL,Phi,@NYM,Ari,,,Mil,@Col
Tue,23-Apr,NYY,ChW,Det,@Bal,Fla,@Bos,Min,@Tam,@Hou,@Ana,Tex,@Sdg,Kan,@Oak,Sfo,@Pit,@Cin,Los,Atl,Was,@Cle,@ChC,@StL,Phi,@NYM,Ari,Sea,@Tor,Mil,@Col
Wed,24-Apr,NYY,ChW,Det,@Bal,Fla,@Bos,Min,@Tam,@Hou,@Ana,Tex,@Sdg,Kan,@Oak,Sfo,@Pit,@Cin,Los,Atl,Was,@Cle,@ChC,@StL,Phi,@NYM,Ari,Sea,@Tor,Mil,@Col
Thu,25-Apr,NYY,,Det,,@Hou,@Bos,Cle,,,@Ana,,Tex,,@Sea,,@Pit,@Cin,Los,Atl,,@Phi,@ChC,,,Fla,Ari,,,,
Fri,26-Apr,@Kan,@Min,Tam,Det,@Hou,@ChW,Cle,Ana,Bal,@Sfo,@Tor,Tex,@Bos,@Sea,Oak,ChC,Col,@Ari,@StL,@Atl,@Phi,Pit,@NYM,Mil,Fla,@Los,@Was,NYY,Cin,Sdg
Sat,27-Apr,@Kan,@Min,Tam,Det,@Hou,@ChW,Cle,Ana,Bal,@Sfo,@Tor,Tex,@Bos,@Sea,Oak,ChC,Col,@Ari,@StL,@Atl,@Phi,Pit,@NYM,Mil,Fla,@Los,@Was,NYY,Cin,Sdg
Sun,28-Apr,@Kan,@Min,Tam,Det,@Hou,@ChW,Cle,Ana,Bal,@Sfo,@Tor,Tex,@Bos,@Sea,Oak,ChC,Col,@Ari,@StL,@Atl,@Phi,Pit,@NYM,Mil,Fla,@Los,@Was,NYY,Cin,Sdg
