,Home Team,Away Team,Home Team Score,Away Team Score
303,Tampa Bay Rays,Baltimore Orioles,4,5
304,New York Yankees,Boston Red Sox,3,1
305,Kansas City Royals,Chicago White Sox,2,5
306,Houston Astros,Cleveland Indians,6,7
307,Washington Nationals,Colorado Rockies,11,4
308,Seattle Mariners,Detroit Tigers,8,0
309,Cincinnati Reds,Milwaukee Brewers,4,9
310,Atlanta Braves,New York Mets,8,2
311,Miami Marlins,Philadelphia Phillies,4,7
312,Chicago Cubs,Pittsburgh Pirates,5,6
313,Los Angeles Dodgers,San Francisco Giants,3,4
314,Minnesota Twins,Texas Rangers,3,14
315,Oakland Athletics,Los Angeles Angels,1,2
316,San Diego Padres,Arizona D'Backs,2,6
317,New York Yankees,Boston Red Sox,3,0
318,Houston Astros,Cleveland Indians,3,4
319,Washington Nationals,Colorado Rockies,16,5
320,Seattle Mariners,Detroit Tigers,2,1
321,Atlanta Braves,New York Mets,7,5
322,Miami Marlins,Philadelphia Phillies,2,3
323,Los Angeles Dodgers,San Francisco Giants,5,1
324,Toronto Blue Jays,St. Louis Cardinals,4,8
325,Toronto Blue Jays,St. Louis Cardinals,4,6
326,Colorado Rockies,Arizona D'Backs,3,1
327,Chicago Cubs,Boston Red Sox,4,5
328,Seattle Mariners,Cleveland Indians,3,1
329,Chicago White Sox,Detroit Tigers,7,3
330,Oakland Athletics,Houston Astros,4,9
331,Minnesota Twins,Kansas City Royals,6,4
332,Philadelphia Phillies,Los Angeles Dodgers,3,5
333,Pittsburgh Pirates,Miami Marlins,12,2
334,Atlanta Braves,Milwaukee Brewers,10,8
335,Baltimore Orioles,New York Yankees,11,14
336,San Diego Padres,San Francisco Giants,3,4
337,Cincinnati Reds,St. Louis Cardinals,5,7
338,Los Angeles Angels,Texas Rangers,6,3
339,Tampa Bay Rays,Toronto Blue Jays,7,4
340,New York Mets,Washington Nationals,7,5
341,Colorado Rockies,Arizona D'Backs,7,6
342,Chicago Cubs,Boston Red Sox,7,4
343,Seattle Mariners,Cleveland Indians,3,4
344,Chicago White Sox,Detroit Tigers,6,4
345,Oakland Athletics,Houston Astros,2,1
346,Philadelphia Phillies,Los Angeles Dodgers,5,6
347,Pittsburgh Pirates,Miami Marlins,4,0
348,Atlanta Braves,Milwaukee Brewers,11,3
349,Baltimore Orioles,New York Yankees,4,12
350,San Diego Padres,San Francisco Giants,12,4
351,Los Angeles Angels,Texas Rangers,3,6
352,Tampa Bay Rays,Toronto Blue Jays,1,4
353,New York Mets,Washington Nationals,5,3
354,Colorado Rockies,Arizona D'Backs,0,2
355,Chicago Cubs,Boston Red Sox,2,6
356,Seattle Mariners,Cleveland Indians,4,12
357,Chicago White Sox,Detroit Tigers,3,7
358,Oakland Athletics,Houston Astros,2,7
359,Minnesota Twins,Kansas City Royals,7,5
360,Philadelphia Phillies,Los Angeles Dodgers,3,5
361,Pittsburgh Pirates,Miami Marlins,3,10
362,Atlanta Braves,Milwaukee Brewers,3,4
363,Baltimore Orioles,New York Yankees,7,4
364,San Diego Padres,San Francisco Giants,5,2
365,Cincinnati Reds,St. Louis Cardinals,5,4
366,Los Angeles Angels,Texas Rangers,5,2
367,Tampa Bay Rays,Toronto Blue Jays,1,3
368,New York Mets,Washington Nationals,5,23
369,New York Mets,Atlanta Braves,7,5
370,Baltimore Orioles,Boston Red Sox,5,2
371,Philadelphia Phillies,Chicago Cubs,10,2
372,Pittsburgh Pirates,Cincinnati Reds,3,4
373,Cleveland Indians,Detroit Tigers,1,7
374,Texas Rangers,Houston Astros,2,6
375,Chicago White Sox,Kansas City Royals,1,6
376,San Francisco Giants,Los Angeles Dodgers,4,3
377,Tampa Bay Rays,Miami Marlins,4,2
378,Toronto Blue Jays,New York Yankees,7,1
379,Milwaukee Brewers,St. Louis Cardinals,7,5
380,New York Mets,Atlanta Braves,7,9
381,Baltimore Orioles,Boston Red Sox,2,5
