,Season,Team,W,L,SV,G,GS,IP,SO,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR
69,2012.0,Giants,94.0,68.0,53.0,688.0,162.0,1451.0,1237.0,7.67,3.03,0.88,0.289,0.736,0.46,0.099,3.68,3.78,3.95,12.9
70,2015.0,Indians,81.0,80.0,38.0,637.0,161.0,1432.2,1407.0,8.84,2.67,1.01,0.288,0.728,0.445,0.11699999999999999,3.68,3.62,3.57,21.0
71,2008.0,Dodgers,84.0,78.0,35.0,623.0,162.0,1447.1,1205.0,7.49,2.98,0.76,0.295,0.726,0.496,0.09300000000000001,3.68,3.67,3.77,23.1
72,2010.0,Phillies,97.0,65.0,40.0,613.0,162.0,1456.1,1183.0,7.31,2.57,1.04,0.289,0.753,0.465,0.106,3.68,3.93,3.75,16.0
73,2016.0,Giants,87.0,75.0,43.0,737.0,162.0,1460.1,1309.0,8.07,2.71,0.97,0.287,0.743,0.45299999999999996,0.10800000000000001,3.69,3.76,4.01,17.0
74,2016.0,Dodgers,91.0,71.0,47.0,768.0,162.0,1453.0,1510.0,9.35,2.87,1.02,0.288,0.738,0.428,0.11699999999999999,3.7,3.61,3.75,22.8
75,2012.0,Cardinals,88.0,74.0,42.0,668.0,162.0,1462.2,1218.0,7.49,2.68,0.82,0.298,0.732,0.485,0.10400000000000001,3.71,3.62,3.72,17.9
76,2013.0,Marlins,62.0,100.0,36.0,633.0,162.0,1460.0,1177.0,7.26,3.24,0.75,0.292,0.732,0.45299999999999996,0.084,3.71,3.69,3.96,12.9
77,2011.0,Athletics,74.0,88.0,39.0,622.0,162.0,1447.2,1160.0,7.21,3.23,0.85,0.289,0.721,0.441,0.085,3.71,3.8,3.98,16.5
78,2018.0,Diamondbacks,82.0,80.0,39.0,735.0,162.0,1463.0,1448.0,8.91,3.21,1.07,0.289,0.757,0.473,0.13699999999999998,3.73,3.91,3.81,16.8
79,2010.0,Mets,79.0,83.0,36.0,653.0,162.0,1453.0,1106.0,6.85,3.38,0.84,0.296,0.7490000000000001,0.44799999999999995,0.084,3.73,4.0,4.14,12.7
80,2015.0,Giants,84.0,78.0,41.0,719.0,162.0,1444.1,1165.0,7.26,2.69,0.97,0.283,0.745,0.46,0.10800000000000001,3.73,3.92,3.99,9.8
81,2018.0,Brewers,96.0,67.0,49.0,722.0,163.0,1461.0,1428.0,8.8,3.41,1.07,0.279,0.7440000000000001,0.43200000000000005,0.125,3.73,4.01,4.04,16.4
82,2011.0,Yankees,97.0,65.0,47.0,627.0,162.0,1458.1,1222.0,7.54,3.13,0.94,0.297,0.75,0.442,0.099,3.73,3.87,3.84,21.0
83,2017.0,Red Sox,93.0,69.0,39.0,677.0,162.0,1482.1,1580.0,9.59,2.82,1.18,0.303,0.757,0.41,0.127,3.73,3.78,3.91,24.4
84,2015.0,Royals,95.0,67.0,56.0,655.0,162.0,1452.0,1160.0,7.19,3.03,0.96,0.286,0.75,0.428,0.099,3.74,4.04,4.25,12.7
85,2013.0,Rays,92.0,71.0,42.0,648.0,163.0,1464.0,1310.0,8.05,2.96,0.94,0.284,0.736,0.446,0.106,3.74,3.71,3.71,16.8
86,2015.0,Rays,80.0,82.0,60.0,692.0,162.0,1453.1,1355.0,8.39,2.95,1.08,0.284,0.7509999999999999,0.418,0.11199999999999999,3.74,3.91,3.94,15.1
87,2017.0,Yankees,91.0,71.0,36.0,639.0,162.0,1448.2,1560.0,9.69,3.13,1.19,0.28,0.745,0.462,0.142,3.75,3.88,3.82,24.8
88,2018.0,Rays,90.0,72.0,52.0,715.0,162.0,1448.1,1421.0,8.83,3.11,1.02,0.278,0.733,0.439,0.115,3.75,3.82,3.98,16.4
89,2014.0,Yankees,84.0,78.0,48.0,637.0,162.0,1453.0,1370.0,8.49,2.47,1.02,0.298,0.733,0.43700000000000006,0.113,3.75,3.67,3.43,19.9
90,2018.0,Braves,90.0,72.0,40.0,715.0,162.0,1456.2,1423.0,8.79,3.92,0.95,0.278,0.741,0.433,0.11199999999999999,3.75,3.99,4.17,15.0
91,2018.0,Red Sox,108.0,54.0,46.0,697.0,162.0,1458.2,1558.0,9.61,3.16,1.09,0.294,0.758,0.424,0.11900000000000001,3.75,3.82,3.92,20.6
92,2012.0,Mariners,75.0,87.0,43.0,613.0,162.0,1456.2,1166.0,7.2,2.77,1.03,0.282,0.742,0.429,0.106,3.76,4.0,4.09,14.8
93,2012.0,Tigers,88.0,74.0,40.0,582.0,162.0,1430.2,1318.0,8.29,2.76,0.95,0.307,0.727,0.434,0.105,3.77,3.63,3.74,23.7
94,2018.0,Indians,91.0,71.0,41.0,670.0,162.0,1457.1,1544.0,9.54,2.51,1.24,0.298,0.76,0.425,0.13699999999999998,3.77,3.79,3.66,23.3
95,2018.0,Yankees,100.0,62.0,49.0,670.0,162.0,1456.1,1634.0,10.1,3.05,1.09,0.3,0.7390000000000001,0.429,0.129,3.78,3.63,3.61,26.6
96,2010.0,Rays,96.0,66.0,51.0,653.0,162.0,1453.2,1189.0,7.36,2.96,1.08,0.278,0.752,0.413,0.099,3.78,4.09,4.0,15.1
